
 r(lower)	 r(upper)	 z(lower)	 z(upper)	 Vr(avg)	 Vz(avg)
0.9175	1	0.125	0.15	0.0247031	-0.590316
0.67	0.7525	0.15	0.175	-0.0318586	-0.320879
0.7525	0.835	0.15	0.175	-0.00335703	-0.349657
0.835	0.9175	0.15	0.175	0.0717849	-0.292583
0.9175	1	0.15	0.175	0.028539	-0.397209
0.67	0.7525	0.175	0.2	0.0160567	-0.22177
0.7525	0.835	0.175	0.2	0.0318655	-0.148957
0.835	0.9175	0.175	0.2	0.0328233	-0.127095
0.9175	1	0.175	0.2	0.0213962	-0.144363
0.67	0.7525	0.2	0.225	0.0390134	-0.0451104
0.7525	0.835	0.2	0.225	0.0730557	-0.0180134
0.835	0.9175	0.2	0.225	-0.00872558	-0.0325279
0.9175	1	0.2	0.225	-0.0193099	-0.085122
0.67	0.7525	0.225	0.25	0.0285466	-0.0138505
0.7525	0.835	0.225	0.25	0.040627	0.00802837
0.835	0.9175	0.225	0.25	0.0515707	0.0197559
0.9175	1	0.225	0.25	0.0656352	0.00682481
0.67	0.7525	0.25	0.275	0.0307911	-0.0234826
0.7525	0.835	0.25	0.275	0.0746629	0.00924221
0.835	0.9175	0.25	0.275	0.0785766	0.0128915
0.9175	1	0.25	0.275	0.0320804	-0.0537496
0.67	0.7525	0.275	0.3	-0.0486687	0.0108702
0.7525	0.835	0.275	0.3	0.0189053	-0.000435499
0.835	0.9175	0.275	0.3	0.0547043	-0.0276109
0.9175	1	0.275	0.3	0.0184244	-0.0256536
0.67	0.7525	0.3	0.325	0.0627673	0.0235734
0.7525	0.835	0.3	0.325	-0.0201077	0.032154
0.835	0.9175	0.3	0.325	0.0750783	0.00625435
0.9175	1	0.3	0.325	0.0470861	-0.00411455
0.67	0.7525	0.325	0.35	-0.0347326	0.0229359
0.7525	0.835	0.325	0.35	0.054018	-0.0225905
0.835	0.9175	0.325	0.35	0.0752782	0.0128659
0.9175	1	0.325	0.35	0.00541322	0.00959488
0.67	0.7525	0.35	0.375	-0.0245625	-0.0226011
0.7525	0.835	0.35	0.375	0.0546841	0.0314498
0.835	0.9175	0.35	0.375	0.0847157	0.0398965
0.9175	1	0.35	0.375	-0.0104615	0.0237496
0.67	0.7525	0.375	0.4	0.0759756	0.0194662
0.7525	0.835	0.375	0.4	0.0294919	0.0402453
0.835	0.9175	0.375	0.4	0.0637908	-0.0214219
0.9175	1	0.375	0.4	0.0184563	0.0042699
0.67	0.7525	0.4	0.425	0.0253845	0.0452737
0.7525	0.835	0.4	0.425	0.0250177	0.0151621
0.835	0.9175	0.4	0.425	0.0644318	-0.024535
0.9175	1	0.4	0.425	0.0316452	0.0376651
0.67	0.7525	0.425	0.45	0.0556046	0.0053605
0.7525	0.835	0.425	0.45	-0.00867392	0.0328703
0.835	0.9175	0.425	0.45	-0.0115123	-0.0236857
0.9175	1	0.425	0.45	0.0468169	-0.00835661
0.67	0.7525	0.45	0.475	0.0465534	0.0411301
0.7525	0.835	0.45	0.475	0.0391806	-0.0291961
0.835	0.9175	0.45	0.475	0.0653762	0.0399042
0.9175	1	0.45	0.475	0.0172856	-0.0019861
0.67	0.7525	0.475	0.5	0.032124	-0.0253862
0.7525	0.835	0.475	0.5	0.0581836	0.0219162
0.835	0.9175	0.475	0.5	0.0521374	-0.0493056
0.9175	1	0.475	0.5	0.0468888	-0.00666711
0.67	0.7525	0.5	0.525	0.0569383	0.0175593
0.7525	0.835	0.5	0.525	0.0125577	-0.0359177
0.835	0.9175	0.5	0.525	0.007812	-0.0230799
0.9175	1	0.5	0.525	0.0389204	-0.0286736
0.67	0.7525	0.525	0.55	0.0536429	0.00902604
0.7525	0.835	0.525	0.55	0.0677532	0.0200621
0.835	0.9175	0.525	0.55	0.0970709	0.0393846
0.9175	1	0.525	0.55	0.019499	-0.0467955
0.67	0.7525	0.55	0.575	0.0207733	0.0348248
0.7525	0.835	0.55	0.575	0.0222333	-0.0136095
0.835	0.9175	0.55	0.575	5.57624e-05	-0.0150509
0.9175	1	0.55	0.575	0.0163919	0.0189561
0.67	0.7525	0.575	0.6	0.035629	-0.0120671
0.7525	0.835	0.575	0.6	0.0327711	-0.0400771
