
 r(lower)	 r(upper)	 z(lower)	 z(upper)	 r(mid)	 z(mid)	 Vr(time avg)	 Vz(time avg)	 Temp(time avg)
0.7525	0.835	0.9	0.925	0.79375	0.9125	0.0473231	0.84483	414.206
0.835	0.9175	0.9	0.925	0.87625	0.9125	0.00261354	0.860887	369.731
0.9175	1	0.9	0.925	0.95875	0.9125	0.0577976	0.847464	295.363
0.67	0.7525	0.925	0.95	0.71125	0.9375	-0.00397777	0.954243	518.19
0.7525	0.835	0.925	0.95	0.79375	0.9375	0.0302924	0.954172	490.892
0.835	0.9175	0.925	0.95	0.87625	0.9375	0.0207505	0.958517	430.625
0.9175	1	0.925	0.95	0.95875	0.9375	0.0285375	0.972194	370.306
0.67	0.7525	0.95	0.975	0.71125	0.9625	-0.0616026	0.950792	706.138
0.7525	0.835	0.95	0.975	0.79375	0.9625	-0.0114023	0.985664	729.92
0.835	0.9175	0.95	0.975	0.87625	0.9625	-0.00108132	0.910561	588.793
0.9175	1	0.95	0.975	0.95875	0.9625	0.0304638	0.969733	512.919
0.67	0.7525	0.975	1	0.71125	0.9875	0.0237714	0.506559	667.075
0.7525	0.835	0.975	1	0.79375	0.9875	0.022376	0.573707	738.052
0.835	0.9175	0.975	1	0.87625	0.9875	0.0470871	0.556167	591.163
0.9175	1	0.975	1	0.95875	0.9875	0.028446	0.600226	521.955
